T. Geddes Grant (Distributors) Limited,,,,,,,,,,,,
Container Receival Report ,,,,,,,,,,,,
"for week ending June 16, 2017  ",,,,,,,,,,,,
,,,,,,,,,,,,
PO #,PO Date,Supplier,Product Description,Qty,Size Container,Container #,Shipping Line,ETA Jamaica,ETA TGG,Actual Arrival Date - TGG,Date Offloaded,Date left compound
,,Glenmark Pharmaceuticals,Assorted Pharmaceutical Products,992 cases,40,APHU 719248-9,CMA-CGM,"July 7, 2017","July 14, 2017",,,
23297,"June 1, 2017",Caricom Rice Mills,Caricom Pride White Rice 45kg,,5 - 20,,,"July 8, 2017","July 15, 2017",,,
23285,"May 31, 2017",CGA Limited,Assorted Simply Natural Coconut Oil,2100 cases,,,,"July 9, 2017","July 16, 2017",,,
23376,"June 15, 2017",Kimberly Clark,Assorted Paper Products,,40,,,"July 9, 2017","July 16, 2017",,,
23378,"June 15, 2017",Kimberly Clark,Assorted Paper Products,,40,,,"July 9, 2017","July 16, 2017",,,
23395,"June 15, 2017",Kimberly Clark,Assorted KC Products,,40,,,"July 10, 2017","July 17, 2017",,,
23393,"June 15, 2017",Kimberly Clark,Assorted KC Products,,40,,,"July 10, 2017","July 17, 2017",,,
23392,"June 15, 2017",Kimberly Clark,Assorted KC Products,,40,,,"July 10, 2017",,,,
23389,"June 16, 2017",Kimberly Clark,Assorted Paper Products,,40,,,"July 13, 2017","July 20, 2017",,,
23388,"June 16, 2017",Kimberly Clark,Assorted Paper Products,,20,,,"July 13, 2017","July 20, 2017",,,
23298,"June 1, 2017",Caricom Rice Mills,Caricom Pride White Rice 45kg,,7 - 20,,,"July 15, 2017","July 22, 2017",,,
23377,"June 15, 2017",Kimberly Clark,Assorted Paper Products,,40,,,"July 16, 2017","July 23, 2017",,,
23379,"June 15, 2017",Kimberly Clark,Assorted Paper Products,,40,,,"July 16, 2017","July 23, 2017",,,
23381,"June 15, 2017",Kimberly Clark,Assorted Paper Products,,40,,,"July 16, 2017","July 23, 2017",,,
23382,"June 15, 2017",Kimberly Clark,Assorted Paper Products,,40,,,"July 16, 2017","July 23, 2017",,,
23394,"June 15, 2017",Kimberly Clark,Assorted KC Products,,40,,,"July 17, 2017","July 24, 2017",,,
23390,"June 15, 2017",Kimberly Clark,Assorted KC Products,,40,,,"July 17, 2017","July 24, 2017",,,
23328,"June 6, 2017",Crown Point,Argentine Pitted Prunes ,2090 cases,20,,Hapag Lloyd,"July 21, 2017","July 28, 2017",,,
23380,"June 15, 2017",Kimberly Clark,Assorted Paper Products,,40,,,"July 23, 2017","July 30, 2017",,,
23383,"June 15, 2017",Kimberly Clark,Assorted Paper Products,,40,,,"July 23, 2017","July 30, 2017",,,
23384,"June 15, 2017",Kimberly Clark,Assorted Paper Products,,40,,,"July 23, 2017","July 30, 2017",,,
23385,"June 15, 2017",Kimberly Clark,Assorted Paper Products,,40,,,"July 23, 2017","July 30, 2017",,,
23396,"June 15, 2017",Kimberly Clark,Assorted KC Products,,40,,,"July 24, 2017","July 31, 2017",,,
23391,"June 15, 2017",Kimberly Clark,Assorted KC Products,,40,,,"July 24, 2017","July 31, 2017",,,
23318,"June 5, 2017",B. Terfloth + Cie (Canada) Inc.,Whole & Broken Cherries 30lbs,200 cases,,,Zim,.,#VALUE!,,,
,,,Fruit Peel 30lbs,400 cases,,,,,,,,
23386,"June 15, 2017",Kimberly Clark,Assorted Paper Products,,40,,,"July 30, 2017","August 6, 2017",,,
23387,"June 15, 2017",Kimberly Clark,Assorted Paper Products,,40,,,"July 30, 2017","August 6, 2017",,,
23073,"May 3, 2017",Arcor Brazil,Assorted Arcor Products,,,,,"July 31, 2017","August 7, 2017",,,
23321,"June 5, 2017",Crown Point,Currants 12.5kg,1680 cases,,,,"July 31, 2017","August 7, 2017",,,
23320,"June 5, 2017",B. Terfloth + Cie (Canada) Inc.,Sultana Raisins 27..5lbs,1750 cases,,,Zim,"August 9, 2017","August 16, 2017",,,
23275,"May 30, 2017",Compania Agricola Columbiana,Round up Products,,,  ,,"August 11, 2017","August 18, 2017",,,
23404,"June 16, 2017",Compania Agricola Columbiana,Round Up  1 Litre,,,,,"August 28, 2017","September 4, 2017",,,
23405,"June 16, 2017",Compania Agricola Columbiana,Round Up Products,,,,,"August 28, 2017","September 4, 2017",,,
23361,"June 12, 2017",Littop International Limited,Assorted Office Furniture,,, ,,"September 12, 2017","September 19, 2017",,,
,,,,,, ,,,,,,
,,,,,, ,,,,,,
